input_file,si,ti,n
bigbuck_bunny.mkv,27.852,6.784,228
bigbuck_bunny.mkv,27.719,7.983,229
bigbuck_bunny.mkv,28.018,9.372,230
bigbuck_bunny.mkv,27.911,10.4,231
bigbuck_bunny.mkv,28.211,9.119,232
bigbuck_bunny.mkv,28.237,10.644,233
bigbuck_bunny.mkv,28.455,9.483,234
bigbuck_bunny.mkv,27.95,11.568,235
bigbuck_bunny.mkv,27.79,9.472,236
bigbuck_bunny.mkv,28.028,8.232,237
bigbuck_bunny.mkv,28.446,6.817,238
bigbuck_bunny.mkv,28.678,5.694,239
bigbuck_bunny.mkv,28.583,6.31,240
bigbuck_bunny.mkv,28.185,6.921,241
bigbuck_bunny.mkv,28.382,7.634,242
bigbuck_bunny.mkv,28.573,8.993,243
bigbuck_bunny.mkv,28.761,8.374,244
bigbuck_bunny.mkv,28.966,7.719,245
bigbuck_bunny.mkv,29.244,7.372,246
bigbuck_bunny.mkv,28.938,7.446,247
bigbuck_bunny.mkv,28.45,7.444,248
bigbuck_bunny.mkv,28.244,7.946,249
bigbuck_bunny.mkv,28.481,7.167,250
bigbuck_bunny.mkv,28.743,6.79,251
bigbuck_bunny.mkv,28.926,6.482,252
bigbuck_bunny.mkv,28.637,6.487,253
bigbuck_bunny.mkv,28.652,6.303,254
bigbuck_bunny.mkv,28.951,7.144,255
bigbuck_bunny.mkv,29.006,7.745,256
bigbuck_bunny.mkv,29.11,5.828,257
bigbuck_bunny.mkv,29.098,7.449,258
bigbuck_bunny.mkv,29.129,6.066,259
bigbuck_bunny.mkv,28.511,9.893,260
bigbuck_bunny.mkv,28.337,8.578,261
bigbuck_bunny.mkv,28.516,7.392,262
bigbuck_bunny.mkv,28.783,7.349,263
bigbuck_bunny.mkv,28.987,7.141,264
bigbuck_bunny.mkv,29.037,6.615,265
bigbuck_bunny.mkv,28.638,6.366,266
bigbuck_bunny.mkv,28.873,6.264,267
bigbuck_bunny.mkv,28.913,7.726,268
bigbuck_bunny.mkv,29.04,6.795,269
bigbuck_bunny.mkv,29.099,6.424,270
bigbuck_bunny.mkv,29.167,7.338,271
bigbuck_bunny.mkv,28.762,8.569,272
bigbuck_bunny.mkv,28.414,7.682,273
bigbuck_bunny.mkv,28.24,8.235,274
bigbuck_bunny.mkv,28.584,7.4,275
bigbuck_bunny.mkv,28.799,6.657,276
bigbuck_bunny.mkv,29.012,5.818,277
bigbuck_bunny.mkv,28.809,6.26,278
bigbuck_bunny.mkv,28.566,6.523,279
bigbuck_bunny.mkv,28.724,7.334,280
bigbuck_bunny.mkv,28.641,7.582,281
bigbuck_bunny.mkv,28.805,6.023,282
bigbuck_bunny.mkv,29.028,6.919,283
bigbuck_bunny.mkv,29.192,4.949,284
bigbuck_bunny.mkv,28.697,8.331,285
bigbuck_bunny.mkv,28.428,6.627,286
bigbuck_bunny.mkv,28.511,6.617,287
bigbuck_bunny.mkv,28.548,6.886,288
bigbuck_bunny.mkv,28.596,7.557,289
bigbuck_bunny.mkv,28.669,8.214,290
bigbuck_bunny.mkv,28.222,9.338,291
bigbuck_bunny.mkv,27.948,11.277,292
bigbuck_bunny.mkv,27.641,15.099,293
bigbuck_bunny.mkv,27.362,14.231,294
bigbuck_bunny.mkv,27.29,13.08,295
bigbuck_bunny.mkv,27.33,14.266,296
bigbuck_bunny.mkv,27.295,13.976,297
bigbuck_bunny.mkv,27.055,13.161,298
bigbuck_bunny.mkv,26.875,14.39,299
bigbuck_bunny.mkv,27.054,12.6,300
bigbuck_bunny.mkv,27.254,11.06,301
bigbuck_bunny.mkv,27.243,8.931,302
bigbuck_bunny.mkv,27.544,9.023,303
bigbuck_bunny.mkv,27.556,8.577,304
bigbuck_bunny.mkv,27.306,8.438,305
bigbuck_bunny.mkv,27.214,8.555,306
bigbuck_bunny.mkv,27.302,7.206,307
bigbuck_bunny.mkv,27.441,8.111,308
bigbuck_bunny.mkv,27.686,7.674,309
bigbuck_bunny.mkv,27.11,8.705,310
bigbuck_bunny.mkv,27.09,8.241,311
bigbuck_bunny.mkv,27.329,8.166,312
bigbuck_bunny.mkv,27.257,7.801,313
bigbuck_bunny.mkv,26.987,7.673,314
bigbuck_bunny.mkv,27.074,7.833,315
bigbuck_bunny.mkv,27.162,7.73,316
bigbuck_bunny.mkv,26.742,7.912,317
bigbuck_bunny.mkv,26.593,8.379,318
bigbuck_bunny.mkv,26.583,7.445,319
bigbuck_bunny.mkv,26.649,6.611,320
bigbuck_bunny.mkv,26.914,6.864,321
bigbuck_bunny.mkv,26.741,7.16,322
bigbuck_bunny.mkv,26.737,6.797,323
bigbuck_bunny.mkv,27.056,6.535,324
bigbuck_bunny.mkv,27.079,6.44,325
bigbuck_bunny.mkv,27.137,6.187,326
bigbuck_bunny.mkv,27.222,5.93,327
bigbuck_bunny.mkv,27.299,6.742,328
bigbuck_bunny.mkv,27.07,6.385,329
bigbuck_bunny.mkv,26.835,6.884,330
bigbuck_bunny.mkv,26.631,6.928,331
bigbuck_bunny.mkv,26.703,5.804,332
bigbuck_bunny.mkv,26.899,6.538,333
bigbuck_bunny.mkv,26.81,6.959,334
bigbuck_bunny.mkv,26.679,7.198,335
bigbuck_bunny.mkv,26.784,8.244,336
bigbuck_bunny.mkv,26.953,9.56,337
bigbuck_bunny.mkv,27.012,10.903,338
bigbuck_bunny.mkv,27.108,11.477,339
bigbuck_bunny.mkv,27.025,11.333,340
bigbuck_bunny.mkv,26.942,10.944,341
bigbuck_bunny.mkv,26.825,10.31,342
bigbuck_bunny.mkv,26.715,9.264,343
bigbuck_bunny.mkv,26.698,7.261,344
bigbuck_bunny.mkv,26.693,5.959,345
bigbuck_bunny.mkv,26.767,5.052,346
bigbuck_bunny.mkv,26.664,4.718,347
bigbuck_bunny.mkv,26.668,4.427,348
bigbuck_bunny.mkv,26.682,3.835,349
bigbuck_bunny.mkv,26.641,3.775,350
bigbuck_bunny.mkv,26.639,3.48,351
bigbuck_bunny.mkv,26.688,3.5,352
bigbuck_bunny.mkv,26.687,4.484,353
bigbuck_bunny.mkv,26.678,4.467,354
bigbuck_bunny.mkv,26.676,3.867,355
bigbuck_bunny.mkv,26.576,3.662,356
bigbuck_bunny.mkv,26.565,2.837,357
bigbuck_bunny.mkv,26.564,2.55,358
bigbuck_bunny.mkv,26.566,2.173,359
bigbuck_bunny.mkv,26.557,2.365,360
bigbuck_bunny.mkv,26.57,2.548,361
bigbuck_bunny.mkv,26.566,3.063,362
bigbuck_bunny.mkv,26.573,3.661,363
bigbuck_bunny.mkv,26.582,2.817,364
bigbuck_bunny.mkv,26.586,2.246,365
bigbuck_bunny.mkv,26.565,2.117,366
bigbuck_bunny.mkv,26.562,1.932,367
bigbuck_bunny.mkv,26.528,1.871,368
bigbuck_bunny.mkv,26.525,1.734,369
bigbuck_bunny.mkv,26.527,1.913,370
bigbuck_bunny.mkv,26.549,2.415,371
bigbuck_bunny.mkv,26.553,2.771,372
bigbuck_bunny.mkv,26.569,2.902,373
bigbuck_bunny.mkv,26.602,2.77,374
bigbuck_bunny.mkv,26.606,2.755,375
bigbuck_bunny.mkv,26.612,2.993,376
bigbuck_bunny.mkv,26.605,3.143,377
bigbuck_bunny.mkv,26.602,3.158,378
bigbuck_bunny.mkv,26.597,2.958,379
bigbuck_bunny.mkv,26.593,2.959,380
bigbuck_bunny.mkv,26.579,3.169,381
bigbuck_bunny.mkv,26.573,3.232,382
bigbuck_bunny.mkv,26.573,3.203,383
bigbuck_bunny.mkv,26.578,2.992,384
bigbuck_bunny.mkv,26.583,2.679,385
bigbuck_bunny.mkv,26.583,2.328,386
bigbuck_bunny.mkv,26.592,2.007,387
bigbuck_bunny.mkv,26.588,1.918,388
bigbuck_bunny.mkv,26.592,1.908,389
bigbuck_bunny.mkv,26.587,1.908,390
bigbuck_bunny.mkv,26.594,1.907,391
bigbuck_bunny.mkv,26.593,1.841,392
bigbuck_bunny.mkv,26.593,1.931,393
bigbuck_bunny.mkv,26.59,1.831,394
bigbuck_bunny.mkv,26.595,1.856,395
bigbuck_bunny.mkv,26.589,1.962,396
bigbuck_bunny.mkv,26.59,1.862,397
bigbuck_bunny.mkv,26.591,1.665,398
bigbuck_bunny.mkv,26.593,1.684,399
bigbuck_bunny.mkv,26.61,1.982,400
bigbuck_bunny.mkv,26.633,2.049,401
bigbuck_bunny.mkv,26.642,2.249,402
bigbuck_bunny.mkv,26.657,2.319,403
bigbuck_bunny.mkv,26.662,2.122,404
bigbuck_bunny.mkv,26.649,2.425,405
bigbuck_bunny.mkv,26.671,2.423,406
bigbuck_bunny.mkv,26.697,2.868,407
bigbuck_bunny.mkv,26.711,3.349,408
bigbuck_bunny.mkv,26.716,3.232,409
bigbuck_bunny.mkv,26.722,3.113,410
bigbuck_bunny.mkv,26.725,3.04,411
bigbuck_bunny.mkv,26.725,2.882,412
bigbuck_bunny.mkv,26.724,2.917,413
bigbuck_bunny.mkv,26.725,2.546,414
bigbuck_bunny.mkv,26.732,2.21,415
bigbuck_bunny.mkv,26.736,2.16,416
bigbuck_bunny.mkv,26.737,2.236,417
bigbuck_bunny.mkv,26.738,2.215,418
bigbuck_bunny.mkv,26.67,2.212,419
bigbuck_bunny.mkv,26.656,2.539,420
bigbuck_bunny.mkv,26.646,3.671,421
bigbuck_bunny.mkv,26.644,4.914,422
bigbuck_bunny.mkv,26.648,6.087,423
bigbuck_bunny.mkv,26.659,7.006,424
bigbuck_bunny.mkv,26.682,7.896,425
bigbuck_bunny.mkv,26.641,8.801,426
bigbuck_bunny.mkv,26.632,8.864,427
bigbuck_bunny.mkv,26.682,8.095,428
bigbuck_bunny.mkv,26.647,7.606,429
bigbuck_bunny.mkv,26.578,5.808,430
bigbuck_bunny.mkv,26.48,5.241,431
bigbuck_bunny.mkv,26.441,3.551,432
bigbuck_bunny.mkv,26.366,3.393,433
bigbuck_bunny.mkv,26.259,3.646,434
bigbuck_bunny.mkv,26.124,4.219,435
bigbuck_bunny.mkv,25.976,4.803,436
bigbuck_bunny.mkv,25.861,5.381,437
bigbuck_bunny.mkv,25.756,5.916,438
bigbuck_bunny.mkv,25.65,6.536,439
bigbuck_bunny.mkv,25.522,7.176,440
bigbuck_bunny.mkv,25.387,7.953,441
bigbuck_bunny.mkv,25.326,8.483,442
bigbuck_bunny.mkv,25.343,7.765,443
bigbuck_bunny.mkv,25.384,7.153,444
bigbuck_bunny.mkv,25.445,6.608,445
bigbuck_bunny.mkv,25.534,6.12,446
bigbuck_bunny.mkv,25.59,5.735,447
bigbuck_bunny.mkv,25.64,5.531,448
bigbuck_bunny.mkv,25.694,5.521,449
bigbuck_bunny.mkv,25.732,5.8,450
bigbuck_bunny.mkv,25.757,6.387,451
bigbuck_bunny.mkv,25.742,7.114,452
