input_file,si,ti,n
Sparks_cut.mkv,45.295,16.679,314
Sparks_cut.mkv,45.099,16.516,315
Sparks_cut.mkv,45.949,16.623,316
Sparks_cut.mkv,46.415,16.831,317
Sparks_cut.mkv,45.843,16.681,318
Sparks_cut.mkv,46.782,16.864,319
Sparks_cut.mkv,48.511,17.442,320
Sparks_cut.mkv,49.279,17.285,321
Sparks_cut.mkv,50.677,17.703,322
Sparks_cut.mkv,51.836,18.315,323
Sparks_cut.mkv,52.413,18.439,324
Sparks_cut.mkv,55.572,19.05,325
Sparks_cut.mkv,56.667,20.1,326
Sparks_cut.mkv,54.714,19.722,327
Sparks_cut.mkv,52.865,18.613,328
Sparks_cut.mkv,51.861,18.37,329
Sparks_cut.mkv,52.312,18.08,330
Sparks_cut.mkv,51.012,18.155,331
Sparks_cut.mkv,50.992,18.033,332
Sparks_cut.mkv,51.82,17.733,333
Sparks_cut.mkv,55.997,18.438,334
Sparks_cut.mkv,58.355,19.81,335
Sparks_cut.mkv,58.726,19.884,336
Sparks_cut.mkv,58.611,19.673,337
Sparks_cut.mkv,58.981,19.815,338
Sparks_cut.mkv,57.596,19.426,339
Sparks_cut.mkv,59.085,19.754,340
Sparks_cut.mkv,57.347,20.348,341
Sparks_cut.mkv,55.278,19.976,342
Sparks_cut.mkv,52.839,19.058,343
Sparks_cut.mkv,50.885,18.458,344
Sparks_cut.mkv,49.829,17.85,345
Sparks_cut.mkv,50.152,17.416,346
Sparks_cut.mkv,49.495,17.08,347
Sparks_cut.mkv,50.599,17.309,348
Sparks_cut.mkv,49.974,17.267,349
Sparks_cut.mkv,49.2,17.117,350
Sparks_cut.mkv,48.149,17.12,351
Sparks_cut.mkv,47.719,16.834,352
Sparks_cut.mkv,46.261,16.378,353
Sparks_cut.mkv,45.952,16.338,354
Sparks_cut.mkv,45.826,16.221,355
Sparks_cut.mkv,45.98,16.094,356
Sparks_cut.mkv,46.345,16.452,357
Sparks_cut.mkv,46.18,16.548,358
Sparks_cut.mkv,46.278,16.653,359
Sparks_cut.mkv,45.587,16.672,360
Sparks_cut.mkv,44.813,16.347,361
Sparks_cut.mkv,43.945,16.17,362
Sparks_cut.mkv,41.716,15.484,363
Sparks_cut.mkv,40.738,15.148,364
Sparks_cut.mkv,39.432,14.695,365
Sparks_cut.mkv,38.289,14.403,366
Sparks_cut.mkv,37.19,13.93,367
Sparks_cut.mkv,35.946,13.31,368
Sparks_cut.mkv,35.538,13.031,369
Sparks_cut.mkv,36.44,13.024,370
Sparks_cut.mkv,35.611,13.088,371
Sparks_cut.mkv,35.029,12.939,372
Sparks_cut.mkv,35.127,12.968,373
Sparks_cut.mkv,34.629,12.864,374
Sparks_cut.mkv,34.348,12.724,375
Sparks_cut.mkv,34.581,12.843,376
Sparks_cut.mkv,34.904,13.029,377
Sparks_cut.mkv,35.267,13.316,378
Sparks_cut.mkv,36.305,13.449,379
Sparks_cut.mkv,36.912,13.624,380
Sparks_cut.mkv,37.612,13.864,381
Sparks_cut.mkv,37.846,14.707,382
Sparks_cut.mkv,38.474,14.694,383
Sparks_cut.mkv,39.617,14.741,384
Sparks_cut.mkv,40.146,14.703,385
Sparks_cut.mkv,41.498,14.983,386
